release,type,name,size,relative_path,content_id,parent_folder,code_id,architecture,bits,dependencies,dynamic_loading_dependencies,services,package
marlin-userdebug-PPR1.180610.011-4904810,FILE,android.hardware.vulkan.version.xml.pb.txt,358,android.hardware.vulkan.version.xml.pb.txt,5btCgKa+6diaXLbYaOkB0nsM5oc0gUb48QjGkIss9G0=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,SO,libEGL.so,17472,libEGL.so,LC4yDtZx+0aKe2olE5XfBu3plkq7VJTWHep+4GCBAU0=,/,LC4yDtZx+0aKe2olE5XfBu3plkq7VJTWHep+4GCBAU0=,arm,64,,libEGL*.so libGLESv1_CM*.so GLESv2*.so,,
marlin-userdebug-PPR1.180610.011-4904810,EXE,CtsAslrMallocTestCases32,148928,CtsAslrMallocTestCases32,vIHk0XWsVMcFGDu+FL8FRJcrFCGXRD9c79McCxESRUo=,/,vIHk0XWsVMcFGDu+FL8FRJcrFCGXRD9c79McCxESRUo=,arm,32,libbase.so libutils.so liblog.so libc++.so libc.so libm.so libdl.so,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,android.test.runner.odex.pb.txt,4740,android.test.runner.odex.pb.txt,Rcx/YndUJ5MogB+zfwGI67hLV572hvNH+5HbK9fmBU0=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,HelloActivity.apk.pb.txt,3084,HelloActivity.apk.pb.txt,ZN2KEgXNOzcUbm7MmQxrq0H6sGjKcOZvi80UA/p7+Gc=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,CtsAslrMallocTestCases32.pb.txt,12316,CtsAslrMallocTestCases32.pb.txt,u9CBA+S+p9GBNH3wAFll0uPnkMylAYxP8ukGBctrmCw=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,APK,CtsJniTestCases.apk,4436499,CtsJniTestCases.apk,GeBU4owZyKZzm6cboZhHiyobLKvd9/gtyK7KLrR+VnM=,/,5937cb71 74c870f5 ace0e712 10abeac 10b330b b5b67796 541bcfcb 88e93f11 69cfa42b 2965562f bdee0f18 dc33aa66 dc341ec5 ac442c9c e03f4151 7a3c63cb f9855bc7 f1b3224f ,,0,libc.so libdl.so libdl.so libc.so libm.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so liblog.so libc.so libm.so libdl.so libc.so libdl.so libdl.so libc.so libm.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so liblog.so libc.so libm.so libdl.so libc.so libdl.so libdl.so libc.so libm.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so liblog.so libc.so libm.so libdl.so libc.so libdl.so libdl.so libc.so libm.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so libjnicommon.so liblog.so libdl.so libc.so libm.so libc++_shared.so libnativehelper_compat_libc++.so liblog.so libdl.so libc.so libm.so liblog.so libc.so libm.so libdl.so,libcrypto.so libmedia.so libstagefright.so libcutils.so libandroid_runtime.so libbinder.so libutils.so libvorbisidec.so libart.so libnativehelper.so libjni_test_dlclose.so libgui.so libsqlite.so libwebviewchromium_plat_support.so libexpat.so libjni_test_dlclose.so libcrypto.so libmedia.so libstagefright.so libcutils.so libandroid_runtime.so libbinder.so libutils.so libvorbisidec.so libart.so libnativehelper.so libgui.so libsqlite.so libwebviewchromium_plat_support.so libexpat.so libcrypto.so libmedia.so libstagefright.so libcutils.so libandroid_runtime.so libbinder.so libutils.so libvorbisidec.so libart.so libnativehelper.so libjni_test_dlclose.so libgui.so libsqlite.so libwebviewchromium_plat_support.so libexpat.so libjni_test_dlclose.so libcrypto.so libmedia.so libstagefright.so libcutils.so libandroid_runtime.so libbinder.so libutils.so libvorbisidec.so libart.so libnativehelper.so libgui.so libsqlite.so libwebviewchromium_plat_support.so libexpat.so,,android.jni.cts
marlin-userdebug-PPR1.180610.011-4904810,FILE,ExpectedMainTestApk.csv,1442,ExpectedMainTestApk.csv,q6bQ1PSMr2/1JkUU+eK8WSc3/j83KDPtomlU+//2aBA=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,build.prop.pb.txt,3641,build.prop.pb.txt,OB/f9cgFy2lJ4Q0q+4eGjZmIcKhVz0HHO/z0gF8qLLA=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,sl-dir.zip,213,system\sl-dir.zip,9CvOScCa/keQB1hwxZmv8xxBlXXiPQRpgPECX76f6lc=,system,,,0,,,,
